industry_code,industry_code_prefix,r_cog_industry,r_man_industry,offshor_industry,industry_title
110000,110000,-0.5411874011691598,0.6300572388704072,0.06932797095143137,"Agriculture, forestry, fishing and hunting"
111000,110000,-0.4326679081939893,0.690606131125598,0.4174140385417327,"Agriculture, forestry, fishing and hunting"
112000,110000,-0.7097433270504505,0.5518047355626851,-0.613209473894904,"Agriculture, forestry, fishing and hunting"
113000,110000,-0.8279768565819325,1.0835550630017001,-0.2238669680759382,"Agriculture, forestry, fishing and hunting"
114000,110000,0.13906286897325418,-0.03967839349637299,0.22960272071408522,"Agriculture, forestry, fishing and hunting"
115000,110000,-0.5613086086580453,0.19894979992410863,-0.0014337536933194776,"Agriculture, forestry, fishing and hunting"
210000,210000,0.05728783536569182,0.6653407255164431,-0.41981336255930696,"Mining, quarrying, and oil and gas extraction"
211000,210000,-0.0859406743573837,0.10906328655213643,-0.07042163291967168,"Mining, quarrying, and oil and gas extraction"
212000,210000,0.1002803947275956,0.8716966864010307,-0.5043726645433113,"Mining, quarrying, and oil and gas extraction"
213000,210000,0.0939407531425333,0.7743787248007343,-0.536481153105153,"Mining, quarrying, and oil and gas extraction"
220000,220000,0.21724079373571487,0.13107820666713998,-0.45198360638559976,Utilities
221000,220000,-0.03305664112768441,0.159448873246478,-0.4122847823711957,Utilities
230000,230000,-0.21194850329428402,0.40341789165547154,-0.5162816891800741,Construction
236000,230000,-0.2422133279069623,0.1632290468684832,-0.1075176363876798,Construction
237000,230000,-0.06062340902026019,0.5431699492403543,-0.39709559299823755,Construction
238000,230000,-0.27351143512602866,0.5046784997553562,-0.47458444368295416,Construction
420000,420000,-0.18177289617624698,-0.18419628666861151,0.263471324659932,Wholesale trade
423000,420000,-0.12527935381078203,-0.2179335979463647,0.13275607959720345,Wholesale trade
424000,420000,-0.17732123663230137,-0.0497615779281561,0.2452060011873715,Wholesale trade
425000,420000,-0.40560694132758457,-0.6486038803719594,0.6392802462717387,Wholesale trade
510000,510000,-0.08981214716335564,-0.29351118421945116,0.17343970187104377,Information
512000,510000,0.1628512257932369,-0.2471525815779948,0.12965664153769502,Information
513000,510000,-0.06938622904243935,-0.33966868943813155,0.39295056032605397,Information
516000,510000,-0.194447207573787,-0.3081729493879389,0.2466885368573033,Information
517000,510000,-0.15411678021089217,-0.11892206448824034,-0.39792127077679784,Information
518000,510000,-0.053956178387635514,-0.3244466376592873,0.32914121945621544,Information
519000,510000,-0.14521818282082682,-0.3725347237806524,0.3001231392272978,Information
520000,520000,0.2964110867116132,-0.6877863215689918,0.8490667910140368,Finance and insurance
521000,520000,0.21548505610856042,-0.6397018379773052,0.6592457823264374,Finance and insurance
522000,520000,0.4073938925993455,-0.6795648994440904,0.7586056134196703,Finance and insurance
523000,520000,0.023526394433382385,-0.9375714381287723,0.8655333842292612,Finance and insurance
524000,520000,0.21726436918089492,-0.6397227419429121,0.9237169999343761,Finance and insurance
525000,520000,0.06571528640359729,-0.7038674937486409,0.7633133574821795,Finance and insurance
530000,530000,-0.2560021527812927,-0.4654329994602679,0.1951897207974089,Real estate and rental and leasing
531000,530000,-0.30351444440555375,-0.6205592030407514,0.29708842489965903,Real estate and rental and leasing
532000,530000,-0.12128609456882027,0.05031354534004129,-0.14513969598429072,Real estate and rental and leasing
533000,530000,-0.24450122349341014,-0.611308920122904,0.47223484807690674,Real estate and rental and leasing
540000,540000,-0.03680151585964533,-0.5255260149152707,0.4842920925914311,"Professional, scientific, and technical services"
541000,540000,-0.00272307830878947,-0.4377742641142996,0.3713850503687642,"Professional, scientific, and technical services"
550000,550000,-0.036158308001455884,-0.545807395090499,0.5247326366362638,Management of companies and enterprises
551000,550000,-0.036158308001455884,-0.545807395090499,0.5247326366362638,Management of companies and enterprises
560000,560000,-0.12003846463856585,0.12325319551430888,0.022306469532056457,Administrative and support and waste management and remediation services
561000,560000,-0.05168550521251902,-0.08840962364805591,0.0003906377418979099,Administrative and support and waste management and remediation services
562000,560000,0.04657461951616295,0.8919308618905777,-0.3185283434847286,Administrative and support and waste management and remediation services
610000,610000,-0.5899976505308633,-0.6535774554594327,0.05212648410655032,"Educational services; state, local, and private"
611000,610000,-0.6283260114776221,-0.63583231251354,0.11268218363433788,"Educational services; state, local, and private"
620000,620000,-0.027137959719315822,-0.1917094477832733,-0.20060151386767258,Healthcare and social assistance
621000,620000,0.06697545101578073,-0.2769288483149635,-0.26239006475410886,Healthcare and social assistance
622000,620000,0.04962079852066928,-0.19980191499464367,-0.20174969672299659,Healthcare and social assistance
623000,620000,-0.21584177301412086,-0.2442761761403369,-0.06346018517664839,Healthcare and social assistance
624000,620000,-0.456683434532927,-0.42522600321956033,0.013660564585593926,Healthcare and social assistance
710000,710000,-0.7441246644330431,-0.21666079882241976,-0.09563795480231617,"Arts, entertainment, and recreation"
711000,710000,-0.2111100405069743,-0.40958511624428456,0.2854209012010692,"Arts, entertainment, and recreation"
712000,710000,-0.43569491902522944,-0.40934245504832156,0.08602540177533258,"Arts, entertainment, and recreation"
713000,710000,-0.6880265912901731,-0.16925340092444055,-0.1814358428030595,"Arts, entertainment, and recreation"
720000,720000,-0.3453999424494816,0.22705805354032038,-0.030902834528172766,Accommodation and food services
721000,720000,-0.319615883541343,-0.0042973050172100844,0.16023824588628227,Accommodation and food services
722000,720000,-0.4546818675411295,0.20834738595622232,-0.10110166807548775,Accommodation and food services
810000,810000,-0.5472861683049979,-0.19729992529211504,-0.049902297723933134,Other services (except public administration)
811000,810000,-0.042202714178965865,0.2790543323960123,-0.4812145674839531,Other services (except public administration)
